"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"1",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"2",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"3",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"4",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"5",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"6",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"7",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"8",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"9",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"10",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"11",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"12",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"13",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"14",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"15",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"16",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"17",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"18",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"19",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"20",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"21",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"22",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"23",2024,0.13837122,0.0064,0.0754,70000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"24",2025,0.1393376,0.0078,0.0717,70000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"25",2026,0.1389083,0.0061,0.064,70000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"26",2027,0.1382273,0.0045,0.0544,70000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"27",2028,0.1376198,0.0106,0.0529,70000,1.8,23.91433,20.28092,3331.017,31,1.9,2757.361
"28",2029,0.1372636,0.0106,0.0515,70000,1.8,23.95923,20.36422,3436.422,30.9,1.9,2795.689
"29",2030,0.1368567,0.0106,0.05,70000,1.8,24.003,20.44933,3547.259,30.7,1.9,2836.226
"30",2031,0.1365477,0.01,0.05,70000,1.8,24.04598,20.53669,3655.536,30.6,1.9,2872.53
"31",2032,0.1361325,0.01,0.05,70000,1.8,24.08858,20.62673,3766.745,30.5,1.8,2909.011
"32",2033,0.1362811,0.01,0.05,70000,1.8,24.13129,20.71975,3873.673,30.4,1.8,2940.137
"33",2034,0.1363346,0.01,0.05,70000,1.8,24.17461,20.81588,3984.424,30.3,1.8,2972.185
"34",2035,0.1362519,0.01,0.05,70000,1.8,24.21907,20.91512,4098.747,30.3,1.8,3004.879
"35",2036,0.1362093,0.01,0.05,70000,1.8,24.26517,21.01748,4213.431,30.2,1.7,3035.829
"36",2037,0.1361916,0.01,0.05,70000,1.8,24.31339,21.12278,4328.752,30.1,1.7,3065.277
"37",2038,0.1360345,0.01,0.05,70000,1.8,24.36402,21.23096,4448.99,30,1.7,3096.236
"38",2039,0.1357782,0.01,0.05,70000,1.8,24.41736,21.34179,4573.474,30,1.7,3128.127
"39",2040,0.1354952,0.01,0.05,70000,1.8,24.47355,21.45508,4698.649,29.9,1.6,3158.47
"40",2041,0.1352385,0.01,0.05,70000,1.8,24.53263,21.57044,4824.381,29.8,1.6,3187.212
"41",2042,0.1350479,0.01,0.05,70000,1.8,24.59451,21.68744,4952.496,29.8,1.6,3215.578
"42",2043,0.1349105,0.01,0.05,70000,1.8,24.65906,21.80547,5082.502,29.7,1.5,3243.232
"43",2044,0.134835,0.01,0.05,70000,1.8,24.72615,21.92414,5215.92,29.6,1.5,3271.124
"44",2045,0.1347439,0.01,0.05,70000,1.8,24.7956,22.04292,5351.779,29.6,1.5,3298.602
"45",2046,0.1347307,0.01,0.05,70000,1.8,24.86706,22.16138,5486.821,29.5,1.4,3323.671
"46",2047,0.1346068,0.01,0.05,70000,1.8,24.94029,22.27916,5625.828,29.4,1.4,3349.263
"47",2048,0.1344386,0.01,0.05,70000,1.8,25.01495,22.39614,5769.502,29.4,1.4,3375.722
"48",2049,0.1342474,0.01,0.05,70000,1.8,25.09073,22.51231,5919.193,29.3,1.3,3403.741
"49",2050,0.1342112,0.01,0.05,70000,1.8,25.16744,22.62767,6070.961,29.3,1.3,3430.971
"50",2051,0.1341138,0.01,0.05,70000,1.8,25.24473,22.74221,6226.62,29.2,1.3,3458.419
"51",2052,0.1339812,0.01,0.05,70000,1.8,25.32251,22.85595,6388.172,29.2,1.3,3487.124
"52",2053,0.1338276,0.01,0.05,70000,1.8,25.40068,22.96887,6555.214,29.1,1.2,3516.764
"53",2054,0.1336295,0.01,0.05,70000,1.8,25.47914,23.08098,6728.626,29.1,1.2,3547.712
"54",2055,0.1333513,0.01,0.05,70000,1.8,25.55779,23.19227,6909.364,29,1.2,3580.351
"55",2056,0.1330874,0.01,0.05,70000,1.8,25.63655,23.30275,7092.847,29,1.2,3612.216
"56",2057,0.1327454,0.01,0.05,70000,1.8,25.71534,23.41242,7283.368,28.9,1.2,3645.448
"57",2058,0.1324088,0.01,0.05,70000,1.8,25.79409,23.52128,7480.489,28.9,1.1,3679.715
"58",2059,0.1320154,0.01,0.05,70000,1.8,25.87275,23.62934,7684.467,28.8,1.1,3715.041
"59",2060,0.1317158,0.01,0.05,70000,1.8,25.95126,23.73658,7893.225,28.8,1.1,3750.333
"60",2061,0.1314865,0.01,0.05,70000,1.8,26.02959,23.84302,8106.851,28.8,1.1,3785.587
"61",2062,0.1313012,0.01,0.05,70000,1.8,26.10773,23.94866,8326.259,28.8,1.1,3821.171
"62",2063,0.1311899,0.01,0.05,70000,1.8,26.18565,24.05349,8552.452,28.8,1.1,3857.472
"63",2064,0.1311794,0.01,0.05,70000,1.8,26.26335,24.15753,8783.05,28.8,1.1,3893.347
"64",2065,0.1312838,0.01,0.05,70000,1.8,26.34081,24.26078,9015.396,28.7,1.1,3927.608
"65",2066,0.1313983,0.01,0.05,70000,1.8,26.41802,24.36323,9250.22,28.7,1.1,3960.6
"66",2067,0.1314995,0.01,0.05,70000,1.8,26.49499,24.4649,9492.102,28.7,1,3994.265
"67",2068,0.1316012,0.01,0.05,70000,1.8,26.57171,24.56578,9740.309,28.7,1,4028.216
"68",2069,0.1317502,0.01,0.05,70000,1.8,26.64818,24.66589,9993.023,28.7,1,4061.651
"69",2070,0.131999,0.01,0.05,70000,1.8,26.7244,24.76522,10249.245,28.7,1,4094.144
"70",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"71",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"72",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"73",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"74",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"75",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"76",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"77",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"78",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"79",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"80",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"81",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"82",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"83",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"84",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"85",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"86",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"87",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"88",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"89",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"90",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"91",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"92",2024,0.13837122,0.0064,0.0754,70000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"93",2025,0.1393376,0.0078,0.0717,70000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"94",2026,0.1389083,0.0061,0.064,70000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"95",2027,0.1382273,0.0045,0.0544,70000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"96",2028,0.1375998,0.0108,0.0529,70000,1.8,23.91433,20.28092,3331.674,31,1.9,2757.905
"97",2029,0.1372036,0.011,0.0515,70000,1.8,23.95923,20.36422,3438.794,30.9,1.9,2797.619
"98",2030,0.136732,0.0113,0.05,70000,1.8,24.003,20.44933,3552.157,30.7,1.9,2840.143
"99",2031,0.1363272,0.0109,0.05,70000,1.8,24.04598,20.53669,3663.836,30.6,1.9,2879.052
"100",2032,0.1357773,0.0112,0.05,70000,1.8,24.08858,20.62673,3779.772,30.5,1.8,2919.071
"101",2033,0.1357833,0.0114,0.05,70000,1.8,24.13129,20.71975,3892.069,30.4,1.8,2954.1
"102",2034,0.1356784,0.0116,0.05,70000,1.8,24.17461,20.81588,4009.682,30.3,1.8,2991.026
"103",2035,0.1354081,0.0118,0.05,70000,1.8,24.21907,20.91512,4132.482,30.3,1.8,3029.611
"104",2036,0.1351799,0.0121,0.05,70000,1.8,24.26517,21.01748,4256.94,30.2,1.7,3067.178
"105",2037,0.1349505,0.0123,0.05,70000,1.8,24.31339,21.12278,4383.414,30.1,1.7,3103.984
"106",2038,0.1345706,0.0125,0.05,70000,1.8,24.36402,21.23096,4516.321,30,1.7,3143.094
"107",2039,0.1340593,0.0128,0.05,70000,1.8,24.41736,21.34179,4655.556,30,1.7,3184.269
"108",2040,0.1335012,0.013,0.05,70000,1.8,24.47355,21.45508,4797.188,29.9,1.6,3224.709
"109",2041,0.1330179,0.013,0.05,70000,1.8,24.53263,21.57044,4940.201,29.8,1.6,3263.728
"110",2042,0.1325801,0.013,0.05,70000,1.8,24.59451,21.68744,5086.471,29.8,1.6,3302.566
"111",2043,0.1322028,0.013,0.05,70000,1.8,24.65906,21.80547,5235.52,29.7,1.5,3340.876
"112",2044,0.1318792,0.013,0.05,70000,1.8,24.72615,21.92414,5388.937,29.6,1.5,3379.63
"113",2045,0.1315398,0.013,0.05,70000,1.8,24.7956,22.04292,5545.752,29.6,1.5,3418.158
"114",2046,0.1312907,0.013,0.05,70000,1.8,24.86706,22.16138,5702.616,29.5,1.4,3454.39
"115",2047,0.1309684,0.013,0.05,70000,1.8,24.94029,22.27916,5864.498,29.4,1.4,3491.352
"116",2048,0.1305887,0.013,0.05,70000,1.8,25.01495,22.39614,6032.168,29.4,1.4,3529.408
"117",2049,0.1301748,0.013,0.05,70000,1.8,25.09073,22.51231,6207.088,29.3,1.3,3569.29
"118",2050,0.1299899,0.013,0.05,70000,1.8,25.16744,22.62767,6384.553,29.3,1.3,3608.196
"119",2051,0.1297127,0.013,0.05,70000,1.8,25.24473,22.74221,6567.742,29.2,1.3,3647.886
"120",2052,0.1293977,0.013,0.05,70000,1.8,25.32251,22.85595,6758.192,29.2,1.3,3689.107
"121",2053,0.129059,0.013,0.05,70000,1.8,25.40068,22.96887,6955.539,29.1,1.2,3731.532
"122",2054,0.1286942,0.013,0.05,70000,1.8,25.47914,23.08098,7160.773,29.1,1.2,3775.564
"123",2055,0.1282775,0.013,0.05,70000,1.8,25.55779,23.19227,7374.977,29,1.2,3821.626
"124",2056,0.1278555,0.013,0.05,70000,1.8,25.63655,23.30275,7593.337,29,1.2,3867.103
"125",2057,0.1273618,0.013,0.05,70000,1.8,25.71534,23.41242,7820.48,28.9,1.2,3914.282
"126",2058,0.126878,0.013,0.05,70000,1.8,25.79409,23.52128,8056.009,28.9,1.1,3962.819
"127",2059,0.126329,0.013,0.05,70000,1.8,25.87275,23.62934,8300.272,28.8,1.1,4012.75
"128",2060,0.1259049,0.013,0.05,70000,1.8,25.95126,23.73658,8551.095,28.8,1.1,4062.91
"129",2061,0.1255472,0.013,0.05,70000,1.8,26.02959,23.84302,8808.629,28.8,1.1,4113.29
"130",2062,0.1252444,0.013,0.05,70000,1.8,26.10773,23.94866,9073.918,28.8,1.1,4164.295
"131",2063,0.1250041,0.013,0.05,70000,1.8,26.18565,24.05349,9348.121,28.8,1.1,4216.348
"132",2064,0.1248516,0.013,0.05,70000,1.8,26.26335,24.15753,9628.707,28.8,1.1,4268.209
"133",2065,0.1248402,0.013,0.05,70000,1.8,26.34081,24.26078,9912.816,28.7,1.1,4318.574
"134",2066,0.1248266,0.013,0.05,70000,1.8,26.41802,24.36323,10201.274,28.7,1.1,4367.806
"135",2067,0.1248108,0.013,0.05,70000,1.8,26.49499,24.4649,10499.164,28.7,1,4418.036
"136",2068,0.1247999,0.013,0.05,70000,1.8,26.57171,24.56578,10805.753,28.7,1,4468.843
"137",2069,0.1248068,0.013,0.05,70000,1.8,26.64818,24.66589,11119.096,28.7,1,4519.341
"138",2070,0.1249126,0.013,0.05,70000,1.8,26.7244,24.76522,11438.13,28.7,1,4569.054
"139",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"140",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"141",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"142",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"143",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"144",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"145",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"146",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"147",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"148",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"149",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"150",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"151",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"152",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"153",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"154",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"155",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"156",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"157",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"158",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"159",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"160",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"161",2024,0.13837122,0.0064,0.0754,70000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"162",2025,0.1393376,0.0078,0.0717,70000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"163",2026,0.1389083,0.0061,0.064,70000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"164",2027,0.1382273,0.0045,0.0544,70000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"165",2028,0.1376567,0.0103,0.0529,70000,1.8,23.91433,20.28092,3330.033,31,1.9,2756.546
"166",2029,0.1373235,0.0101,0.0515,70000,1.8,23.95923,20.36422,3434.05,30.9,1.9,2793.76
"167",2030,0.1369832,0.0099,0.05,70000,1.8,24.003,20.44933,3542.365,30.7,1.9,2832.313
"168",2031,0.1367777,0.0091,0.05,70000,1.8,24.04598,20.53669,3646.888,30.6,1.9,2865.735
"169",2032,0.1364922,0.0088,0.05,70000,1.8,24.08858,20.62673,3753.382,30.5,1.8,2898.691
"170",2033,0.1367938,0.0086,0.05,70000,1.8,24.13129,20.71975,3854.583,30.4,1.8,2925.649
"171",2034,0.1369875,0.0084,0.05,70000,1.8,24.17461,20.81588,3958.514,30.3,1.8,2952.857
"172",2035,0.1370679,0.0082,0.05,70000,1.8,24.21907,20.91512,4064.843,30.3,1.8,2980.023
"173",2036,0.1372336,0.0079,0.05,70000,1.8,24.26517,21.01748,4169.893,30.2,1.7,3004.46
"174",2037,0.1374259,0.0077,0.05,70000,1.8,24.31339,21.12278,4274.263,30.1,1.7,3026.693
"175",2038,0.1375168,0.0075,0.05,70000,1.8,24.36402,21.23096,4381.681,30,1.7,3049.393
"176",2039,0.1375256,0.0072,0.05,70000,1.8,24.41736,21.34179,4491.798,30,1.7,3072.263
"177",2040,0.1375139,0.007,0.05,70000,1.8,24.47355,21.45508,4601.026,29.9,1.6,3092.847
"178",2041,0.1375349,0.007,0.05,70000,1.8,24.53263,21.57044,4710.102,29.8,1.6,3111.714
"179",2042,0.1376001,0.007,0.05,70000,1.8,24.59451,21.68744,4820.804,29.8,1.6,3130.073
"180",2043,0.1377168,0.007,0.05,70000,1.8,24.65906,21.80547,4932.637,29.7,1.5,3147.601
"181",2044,0.1378985,0.007,0.05,70000,1.8,24.72615,21.92414,5047.065,29.6,1.5,3165.228
"182",2045,0.1380574,0.007,0.05,70000,1.8,24.7956,22.04292,5163.119,29.6,1.5,3182.32
"183",2046,0.1383027,0.007,0.05,70000,1.8,24.86706,22.16138,5277.64,29.5,1.4,3196.959
"184",2047,0.138421,0.007,0.05,70000,1.8,24.94029,22.27916,5395.238,29.4,1.4,3211.984
"185",2048,0.1384813,0.007,0.05,70000,1.8,25.01495,22.39614,5516.554,29.4,1.4,3227.723
"186",2049,0.1385107,0.007,0.05,70000,1.8,25.09073,22.51231,5642.843,29.3,1.3,3244.83
"187",2050,0.1386602,0.007,0.05,70000,1.8,25.16744,22.62767,5770.3,29.3,1.3,3261.054
"188",2051,0.1387704,0.007,0.05,70000,1.8,25.24473,22.74221,5900.637,29.2,1.3,3277.359
"189",2052,0.1388447,0.007,0.05,70000,1.8,25.32251,22.85595,6035.719,29.2,1.3,3294.729
"190",2053,0.138893,0.007,0.05,70000,1.8,25.40068,22.96887,6175.121,29.1,1.2,3312.85
"191",2054,0.1388756,0.007,0.05,70000,1.8,25.47914,23.08098,6319.628,29.1,1.2,3332.065
"192",2055,0.1387901,0.007,0.05,70000,1.8,25.55779,23.19227,6470.089,29,1.2,3352.724
"193",2056,0.138694,0.007,0.05,70000,1.8,25.63655,23.30275,6622.157,29,1.2,3372.505
"194",2057,0.1385358,0.007,0.05,70000,1.8,25.71534,23.41242,6779.821,28.9,1.2,3393.414
"195",2058,0.13836,0.007,0.05,70000,1.8,25.79409,23.52128,6942.618,28.9,1.1,3415.132
"196",2059,0.1381254,0.007,0.05,70000,1.8,25.87275,23.62934,7110.737,28.8,1.1,3437.672
"197",2060,0.1380111,0.007,0.05,70000,1.8,25.95126,23.73658,7282.204,28.8,1.1,3460.017
"198",2061,0.1379472,0.007,0.05,70000,1.8,26.02959,23.84302,7457.064,28.8,1.1,3482.161
"199",2062,0.1379257,0.007,0.05,70000,1.8,26.10773,23.94866,7636.123,28.8,1.1,3504.447
"200",2063,0.1379871,0.007,0.05,70000,1.8,26.18565,24.05349,7820.259,28.8,1.1,3527.226
"201",2064,0.1381031,0.007,0.05,70000,1.8,26.26335,24.15753,8007.243,28.8,1.1,3549.447
"202",2065,0.1383751,0.007,0.05,70000,1.8,26.34081,24.26078,8194.624,28.7,1.1,3570.034
"203",2066,0.1386384,0.007,0.05,70000,1.8,26.41802,24.36323,8383.056,28.7,1.1,3589.312
"204",2067,0.1389092,0.007,0.05,70000,1.8,26.49499,24.4649,8576.673,28.7,1,3609.054
"205",2068,0.1391596,0.007,0.05,70000,1.8,26.57171,24.56578,8774.762,28.7,1,3628.903
"206",2069,0.1394489,0.007,0.05,70000,1.8,26.64818,24.66589,8975.64,28.7,1,3648.137
"207",2070,0.1398418,0.007,0.05,70000,1.8,26.7244,24.76522,9178.377,28.7,1,3666.377
"208",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"209",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"210",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"211",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"212",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"213",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"214",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"215",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"216",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"217",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"218",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"219",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"220",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"221",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"222",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"223",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"224",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"225",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"226",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"227",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"228",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"229",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"230",2024,0.13837122,0.0064,0.0754,70000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"231",2025,0.1393376,0.0078,0.0717,70000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"232",2026,0.1389083,0.0061,0.064,70000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"233",2027,0.1382273,0.0045,0.0544,70000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"234",2028,0.1376788,0.0101,0.0529,70000,1.8,23.91433,20.28092,3329.376,31,1.9,2756.003
"235",2029,0.1373838,0.0096,0.0515,70000,1.8,23.95923,20.36422,3431.679,30.9,1.9,2791.831
"236",2030,0.1371081,0.0092,0.05,70000,1.8,24.003,20.44933,3537.476,30.7,1.9,2828.404
"237",2031,0.1369953,0.0082,0.05,70000,1.8,24.04598,20.53669,3638.615,30.6,1.9,2859.233
"238",2032,0.1368271,0.0077,0.05,70000,1.8,24.08858,20.62673,3740.794,30.5,1.8,2888.969
"239",2033,0.1372871,0.0072,0.05,70000,1.8,24.13129,20.71975,3836.328,30.4,1.8,2911.792
"240",2034,0.1376553,0.0068,0.05,70000,1.8,24.17461,20.81588,3933.13,30.3,1.8,2933.922
"241",2035,0.1379326,0.0063,0.05,70000,1.8,24.21907,20.91512,4031.174,30.3,1.8,2955.339
"242",2036,0.1383097,0.0058,0.05,70000,1.8,24.26517,21.01748,4126.74,30.2,1.7,2973.367
"243",2037,0.1387459,0.0054,0.05,70000,1.8,24.31339,21.12278,4220.372,30.1,1.7,2988.531
"244",2038,0.1390761,0.0049,0.05,70000,1.8,24.36402,21.23096,4315.7,30,1.7,3003.474
"245",2039,0.139347,0.0045,0.05,70000,1.8,24.41736,21.34179,4411.864,30,1.7,3017.59
"246",2040,0.1396123,0.004,0.05,70000,1.8,24.47355,21.45508,4505.681,29.9,1.6,3028.755
"247",2041,0.1399223,0.004,0.05,70000,1.8,24.53263,21.57044,4598.742,29.8,1.6,3038.144
"248",2042,0.1402692,0.004,0.05,70000,1.8,24.59451,21.68744,4692.79,29.8,1.6,3046.955
"249",2043,0.1406523,0.004,0.05,70000,1.8,24.65906,21.80547,4787.328,29.7,1.5,3054.877
"250",2044,0.1410924,0.004,0.05,70000,1.8,24.72615,21.92414,4883.772,29.6,1.5,3062.82
"251",2045,0.1415176,0.004,0.05,70000,1.8,24.7956,22.04292,4981.164,29.6,1.5,3070.171
"252",2046,0.1420162,0.004,0.05,70000,1.8,24.86706,22.16138,5076.443,29.5,1.4,3075.083
"253",2047,0.1424035,0.004,0.05,70000,1.8,24.94029,22.27916,5174.062,29.4,1.4,3080.31
"254",2048,0.1427303,0.004,0.05,70000,1.8,25.01495,22.39614,5274.611,29.4,1.4,3086.163
"255",2049,0.1429916,0.004,0.05,70000,1.8,25.09073,22.51231,5379.261,29.3,1.3,3093.261
"256",2050,0.1433598,0.004,0.05,70000,1.8,25.16744,22.62767,5484.345,29.3,1.3,3099.448
"257",2051,0.1437037,0.004,0.05,70000,1.8,25.24473,22.74221,5591.481,29.2,1.3,3105.647
"258",2052,0.1439972,0.004,0.05,70000,1.8,25.32251,22.85595,5702.418,29.2,1.3,3112.79
