"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"348",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"349",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"350",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"351",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"352",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"353",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"354",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"355",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"356",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"357",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"358",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"359",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"360",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"361",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"362",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"363",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"364",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"365",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"366",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"367",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"368",2024,0.1382897,0.0064,0.0754,20000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"369",2025,0.1392529,0.0078,0.0717,20000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"370",2026,0.1388219,0.0061,0.064,20000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"371",2027,0.1381392,0.0045,0.0544,20000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"372",2028,0.1377793,0.0106,0.0529,20000,1.8,23.91433,20.28092,3331.017,31,1.9,2757.361
"373",2029,0.1373436,0.0106,0.0515,20000,1.8,23.95923,20.36422,3436.422,30.9,1.9,2795.689
"374",2030,0.1371599,0.0106,0.05,20000,1.8,24.003,20.44933,3547.259,30.7,1.9,2836.226
"375",2031,0.1371403,0.01,0.05,20000,1.8,24.04598,20.53669,3655.536,30.6,1.9,2872.53
"376",2032,0.1367073,0.01,0.05,20000,1.8,24.08858,20.62673,3766.745,30.5,1.8,2909.011
"377",2033,0.1371697,0.01,0.05,20000,1.8,24.13129,20.71975,3873.673,30.4,1.8,2940.137
"378",2034,0.1370969,0.01,0.05,20000,1.8,24.17461,20.81588,3984.424,30.3,1.8,2972.185
"379",2035,0.1375053,0.01,0.05,20000,1.8,24.21907,20.91512,4098.747,30.3,1.8,3004.879
"380",2036,0.13769,0.01,0.05,20000,1.8,24.26517,21.01748,4213.431,30.2,1.7,3035.829
"381",2037,0.1379088,0.01,0.05,20000,1.8,24.31339,21.12278,4328.752,30.1,1.7,3065.277
"382",2038,0.1377733,0.01,0.05,20000,1.8,24.36402,21.23096,4448.99,30,1.7,3096.236
"383",2039,0.1377144,0.01,0.05,20000,1.8,24.41736,21.34179,4573.474,30,1.7,3128.127
"384",2040,0.1375161,0.01,0.05,20000,1.8,24.47355,21.45508,4698.649,29.9,1.6,3158.47
"385",2041,0.1373951,0.01,0.05,20000,1.8,24.53263,21.57044,4824.381,29.8,1.6,3187.212
"386",2042,0.1373805,0.01,0.05,20000,1.8,24.59451,21.68744,4952.496,29.8,1.6,3215.578
"387",2043,0.1372695,0.01,0.05,20000,1.8,24.65906,21.80547,5082.502,29.7,1.5,3243.232
"388",2044,0.1373337,0.01,0.05,20000,1.8,24.72615,21.92414,5215.92,29.6,1.5,3271.124
"389",2045,0.1375897,0.01,0.05,20000,1.8,24.7956,22.04292,5351.779,29.6,1.5,3298.602
"390",2046,0.1377622,0.01,0.05,20000,1.8,24.86706,22.16138,5486.821,29.5,1.4,3323.671
"391",2047,0.1380953,0.01,0.05,20000,1.8,24.94029,22.27916,5625.828,29.4,1.4,3349.263
"392",2048,0.1380135,0.01,0.05,20000,1.8,25.01495,22.39614,5769.502,29.4,1.4,3375.722
"393",2049,0.1379056,0.01,0.05,20000,1.8,25.09073,22.51231,5919.193,29.3,1.3,3403.741
"394",2050,0.1381145,0.01,0.05,20000,1.8,25.16744,22.62767,6070.961,29.3,1.3,3430.971
"395",2051,0.1384465,0.01,0.05,20000,1.8,25.24473,22.74221,6226.62,29.2,1.3,3458.419
"396",2052,0.13856,0.01,0.05,20000,1.8,25.32251,22.85595,6388.172,29.2,1.3,3487.124
"397",2053,0.1388166,0.01,0.05,20000,1.8,25.40068,22.96887,6555.214,29.1,1.2,3516.764
"398",2054,0.1386432,0.01,0.05,20000,1.8,25.47914,23.08098,6728.626,29.1,1.2,3547.712
"399",2055,0.1388574,0.01,0.05,20000,1.8,25.55779,23.19227,6909.364,29,1.2,3580.351
"400",2056,0.138716,0.01,0.05,20000,1.8,25.63655,23.30275,7092.847,29,1.2,3612.216
"401",2057,0.1385086,0.01,0.05,20000,1.8,25.71534,23.41242,7283.368,28.9,1.2,3645.448
"402",2058,0.1381743,0.01,0.05,20000,1.8,25.79409,23.52128,7480.489,28.9,1.1,3679.715
